name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,355373000000,3,2,0,1,27,25607053
Turkey,europe,59989909458,0,0,0,0,3,48114155
Italy,europe,437888000000,0,0,0,0,32,56576718
East Germany,europe,725111000000,7,3,4,0,29,77858685
San Marino,europe,0,0,0,0,0,4,22549
Costa Rica,americas,3660476459,0,0,0,0,2,2664223
Mongolia,asia,2098734600,0,0,0,0,3,1871090
France,europe,530684000000,1,0,0,1,14,56337666
West Germany,europe,725111000000,3,1,1,1,27,77858685
Argentina,americas,79092001998,0,0,0,0,20,29737093
Bolivia,americas,6169501038,0,0,0,0,1,6054123
Norway,europe,62057955033,3,1,1,1,26,4140099
Australia,australia,193242000000,0,0,0,0,6,15544000
Iceland,europe,2868747035,0,0,0,0,2,239511
United States of America,americas,4037610000000,4,1,3,0,38,235825000
China,asia,259947000000,0,0,0,0,11,1036825000
Belgium,europe,83349529880,0,0,0,0,5,9855372
Soviet Union,asia,0,13,3,6,4,36,142745000
Lebanon,asia,0,0,0,0,0,2,2638054
Netherlands,europe,143913000000,0,0,0,0,3,14424211
Poland,europe,0,0,0,0,0,4,36904134
Chinise Taipei,asia,104000000000,0,0,0,0,4,19069194
Sweden,europe,108307000000,5,0,0,5,25,8336605
Hungary,europe,0,0,0,0,0,1,10668095
Switzerland,europe,106285000000,0,0,0,0,9,6441865
Bulgaria,europe,17594944444,0,0,0,0,9,8960679
Romania,europe,0,0,0,0,0,12,22655940
Morocco,africa,14824728528,0,0,0,0,4,22002643
Egypt,africa,33971188992,0,0,0,0,3,47968642
South Koreas,asia,96597434180,0,0,0,0,11,40405956
United Kingdom,europe,461487000000,1,1,0,0,23,56422072
Austria,europe,67985345162,0,0,0,0,14,7561434
Greece,europe,48020024788,0,0,0,0,4,9895801
Japan,asia,1318380000000,0,0,0,0,3,120018000
Cyprus,europe,2278248953,0,0,0,0,2,697714
