country,gdp,medalcount,gold,silver,bronce,numathletes,population
Canada,273854000000.0,1,0,1,0,23,24515667.0
Italy,477257000000.0,1,0,1,0,24,56433883.0
East Germany,950291000000.0,4,2,2,0,31,78288576.0
Mongolia,0,0,0,0,0,3,1689622.0
France,701288000000.0,0,0,0,0,6,55161527.0
West Germany,950291000000.0,1,0,1,0,26,78288576.0
Argentina,76961923742.0,0,0,0,0,4,27896528.0
Bolivia,4526916803.0,0,0,0,0,2,5579935.0
Norway,64439382896.0,3,0,3,0,29,4085620.0
Australia,149775000000.0,0,0,0,0,11,14692000.0
United States of America,2857310000000.0,6,6,0,0,42,227225000.0
China,191149000000.0,0,0,0,0,4,981235000.0
Soviet Union,0,10,6,4,0,34,139010000.0
Netherlands,195152000000.0,1,1,0,0,15,14149800.0
Poland,0,0,0,0,0,5,35574150.0
Finland,53645202423.0,0,0,0,0,10,4779535.0
Sweden,140929000000.0,0,0,0,0,30,8310531.0
Switzerland,119008000000.0,3,1,2,0,20,6319408.0
New Zealand,23244547385.0,0,0,0,0,5,3112900.0
Bulgaria,19839230769.0,0,0,0,0,4,8861535.0
Romania,0,0,0,0,0,13,22242653.0
United Kingdom,564948000000.0,1,1,0,0,16,56314216.0
Austria,82058912465.0,0,0,0,0,12,7549433.0
Greece,56829663469.0,0,0,0,0,2,9642505.0
Japan,1105390000000.0,0,0,0,0,8,116782000.0
Cyprus,2154311277.0,0,0,0,0,2,685405.0
