name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Canada,americas,1526710000000.0,18,1,1,16,107,36109487.0
Sao Tome and Principe,africa,347545391.8,0,0,0,0,1,203227.0
Turkmenistan,asia,36180000000.0,0,0,0,0,3,5662372.0
Lao PDR,asia,15805692546.0,0,0,0,0,1,6845846.0
Lithuania,europe,43021972485.0,1,0,0,1,13,2868231.0
Cambodia,asia,20159271965.0,0,0,0,0,1,15766293.0
Ethiopia,africa,74296618481.0,5,1,1,3,19,103603501.0
The Gambia,africa,1467255923.0,0,0,0,0,1,2149139.0
Argentina,americas,557531000000.0,4,3,1,0,70,43590368.0
Bolivia,americas,33941126194.0,0,0,0,0,3,11031813.0
Cameroon,africa,32621535419.0,0,0,0,0,6,23926539.0
Ghana,africa,55009730600.0,0,0,0,0,7,28481946.0
Saudi Arabia,asia,644936000000.0,0,0,0,0,9,32442572.0
Cape Verde,africa,1663008687.0,0,0,0,0,3,531146.0
Slovenia,europe,44651537260.0,0,0,0,0,14,2065042.0
Guatemala,americas,68663649522.0,0,0,0,0,6,16583060.0
Bosnia and Herzegovina,europe,16913330694.0,0,0,0,0,6,3386267.0
Russian Federation,europe,1282720000000.0,28,11,6,11,86,144342396.0
Germany,europe,3466790000000.0,24,7,9,8,104,82348669.0
Spain,europe,1232080000000.0,14,4,4,6,129,46483569.0
Netherlands,europe,783528000000.0,11,1,9,1,75,17030314.0
Paraguay,americas,36054281572.0,0,0,0,0,3,6777872.0
Jamaica,americas,14075894320.0,10,6,4,0,24,2906238.0
Oman,asia,65941482445.0,0,0,0,0,4,4479219.0
Gabon,africa,14014369642.0,0,0,0,0,2,2007873.0
Monaco,europe,6468694690.0,0,0,0,0,7,38070.0
New Zealand,asia,187854000000.0,12,4,7,1,46,4693200.0
Yemen,asia,30968242968.0,0,0,0,0,1,27168210.0
Pakistan,asia,278655000000.0,0,0,0,0,3,203627284.0
Albania,europe,11861353752.0,0,0,0,0,1,2876101.0
Samoa,australia,799376440.0,0,0,0,0,4,194535.0
United Arab Emirates,asia,357045000000.0,0,0,0,0,7,9360980.0
India,asia,2290430000000.0,0,0,0,0,23,1324509589.0
Azerbaijan,asia,37867518957.0,4,0,1,3,14,9757812.0
Madagascar,asia,11848613735.0,0,0,0,0,1,24894380.0
